coin_name,action,n,avg_edge,min_edge,max_edge,avg_market_prob,avg_spread
HYPE,too_close_to_expiry,67,0.00000000000000000000,0.0,0.0,54.90000000000000030,0.00000000000000000000
HYPE,model_market_disagreement_too_large,12,0.00000000000000000000,0.0,0.0,27.6375000000000005,
HYPE,entry_too_expensive_for_ttl,6,5.7500000000000000,3.7,8.5,68.9166666666666667,0.05166666666666667533
HYPE,blocked_contrarian_cheap_yes,6,6.7166666666666667,3.5,8.3,12.6083333333333337,0.04183333333333333667
HYPE,edge_ratio_too_small,4,4.1000000000000000,3.8,4.6,42.1249999999999950,0.06249999999999998750
HYPE,positive_ev_direction_agreement_signal,4,6.2000000000000000,4.0,8.5,37.7500000000000010,0.05000000000000000000
HYPE,blocked_contrarian_cheap_no,2,4.2000000000000000,3.9,4.5,87.5500000000000000,0.01900000000000000650
SOL,edge_too_small,354,0.89830508474576271186,-2.7,6.4,50.76129943502824829,0.02726553672316384142
SOL,too_close_to_expiry,62,0.00000000000000000000,0.0,0.0,56.17258064516129022,0.00000000000000000000
SOL,duplicate_market_position,20,6.1650000000000000,3.3,11.3,41.6525000000000003,0.02295000000000000000
SOL,positive_ev_direction_agreement_signal,18,6.3722222222222222,3.8,11.1,38.4444444444444447,0.02000000000000000000
SOL,edge_ratio_too_small,14,3.9785714285714286,3.1,5.3,44.3214285714285707,0.02214285714285715300
SOL,yes_too_expensive_for_known_bias,14,5.2142857142857143,3.1,9.3,53.1428571428571436,0.02714285714285715129
SOL,entry_too_expensive_for_ttl,13,6.4846153846153846,3.6,8.9,51.3076923076923069,0.01846153846153844400
SOL,blocked_contrarian_cheap_yes,9,5.1444444444444444,3.3,7.9,5.4722222222222221,0.01966666666666666844
SOL,model_market_disagreement_too_large,6,0.00000000000000000000,0.0,0.0,33.2416666666666668,
SOL,blocked_contrarian_cheap_no,5,5.1000000000000000,3.5,8.0,95.8500000000000000,0.01539999999999999940
SOL,spread_too_wide,4,0.00000000000000000000,0.0,0.0,49.6249999999999975,0.29249999999999997500
SOL,blocked_direction_disagreement_yes,4,6.8250000000000000,4.5,10.1,26.2500000000000000,0.03500000000000001075
SOL,blocked_direction_disagreement_no,2,6.7000000000000000,5.1,8.3,76.2500000000000000,0.03500000000000000400
SOL,blocked_spot_strike_deadzone,2,7.2500000000000000,6.5,8.0,49.5000000000000000,0.01000000000000000900
XRP,edge_too_small,387,0.61472868217054263566,-2.9,7.3,48.15051679586563305,0.03156847545219638286
XRP,too_close_to_expiry,62,0.00000000000000000000,0.0,0.0,49.23145161290322575,0.00000000000000000000
XRP,edge_ratio_too_small,13,3.8461538461538462,3.0,5.7,55.4615384615384611,0.04000000000000000338
XRP,yes_too_expensive_for_known_bias,11,5.7272727272727273,3.3,7.5,50.5909090909090891,0.03181818181818180045
XRP,entry_too_expensive_for_ttl,10,5.9400000000000000,3.3,11.4,59.1999999999999990,0.03999999999999999010
XRP,blocked_contrarian_cheap_no,9,4.2888888888888889,3.1,7.9,96.1888888888888867,0.01222222222222222297
XRP,model_market_disagreement_too_large,8,0.00000000000000000000,0.0,0.0,54.1562499999999993,
XRP,spread_too_wide,8,0.00000000000000000000,0.0,0.0,45.7187500000000025,0.24312499999999998000
XRP,positive_ev_direction_agreement_signal,5,5.4400000000000000,4.1,7.5,54.6000000000000000,0.02400000000000000000
XRP,duplicate_market_position,4,7.4500000000000000,5.1,9.9,27.5000000000000000,0.02500000000000000000
XRP,blocked_spot_strike_deadzone,4,7.6750000000000000,6.3,9.7,60.3750000000000000,0.02749999999999999700
XRP,blocked_contrarian_cheap_yes,4,4.6000000000000000,3.3,6.2,7.0000000000000000,0.01150000000000000150
XRP,no_open_market,1,0.00000000000000000000,0,0,,
XRP,blocked_direction_disagreement_yes,1,6.3000000000000000,6.3,6.3,23.5000000000000000,0.00999999999999998100
