scan_time,strategy_name,coin_name,action,side,entry_price,edge_cents,edge_ratio,confidence,market_prob,model_fair_yes,fair_yes,fair_no,volatility,spread,open_interest,ttl_minutes,strike_price,spot_price,trade_id,resolved_yes,result
2026-05-17 17:18:45.314778-07,crypto_intel_prod,BTC,positive_ev_direction_agreement_signal,no,0.26,5.5,0.212,0.48,74.5,0.6547534972111542,0.6848750955751605,0.31512490442483954,0.8692996118284229,0.01,49951.23,11.351720283333332,77111.85,77235.995,572,t,yes
2026-05-17 17:18:45.696757-07,crypto_intel_prod,SOL,positive_ev_direction_agreement_signal,no,0.3,5.5,0.184,0.43,70.5,0.6142999649572124,0.6446576468199581,0.3553423531800419,1.4662474889359016,0.01,411.49,11.326249333333333,84.7672,84.935,573,t,yes
2026-05-17 17:19:55.814936-07,crypto_intel_prod,HYPE,positive_ev_direction_agreement_signal,no,0.23,4.0,0.174,0.25,79.5,0.6901283668068916,0.7299862470486382,0.27001375295136176,2.724527729948467,0.05,218.45,10.0891772,45.9868,46.26,574,t,yes
2026-05-17 17:22:17.653787-07,crypto_intel_prod,BTC,positive_ev_direction_agreement_signal,no,0.3,5.3,0.177,0.48,70.5,0.5964086392545946,0.6468250589690514,0.3531749410309486,0.8693694895899621,0.01,76916.27,7.792458383333334,77111.85,77174.875,575,t,yes
2026-05-17 17:34:03.696383-07,crypto_intel_prod,BTC,positive_ev_direction_agreement_signal,yes,0.29,4.9,0.17,0.4,28.000000000000004,0.370487466761178,0.3391793405864422,0.6608206594135577,0.8720018660585772,0.02,54841.87,11.018343766666668,77120.53,77018.815,576,f,no
2026-05-17 17:35:13.938649-07,crypto_intel_prod,ETH,positive_ev_direction_agreement_signal,yes,0.26,10.6,0.407,0.55,25.5,0.43647218202677335,0.365860492162324,0.6341395078376759,2.211165990133975,0.01,3709.93,9.84259745,2112.44,2109.21,577,f,no
2026-05-17 17:35:14.35476-07,crypto_intel_prod,SOL,positive_ev_direction_agreement_signal,yes,0.35,6.9,0.196,0.43,34.5,0.4658265114392315,0.41875785523723913,0.5812421447627609,1.4808517422747156,0.01,688.87,9.8302991,85.0467,85.0,578,f,no
2026-05-17 17:37:33.817434-07,crypto_intel_prod,SOL,positive_ev_direction_agreement_signal,yes,0.27,6.1,0.227,0.48,26.5,0.3913151603443217,0.33134011125447727,0.6686598887455227,1.4865079922986646,0.01,1828.97,7.505322633333334,85.0467,84.915,579,f,no
2026-05-17 17:37:34.197529-07,crypto_intel_prod,ETH,positive_ev_direction_agreement_signal,yes,0.35,5.5,0.157,0.48,34.5,0.45882549957951957,0.4048236370892233,0.5951763629107767,2.216706829543196,0.01,3836.87,7.5156339333333335,2112.44,2110.61,580,f,no
2026-05-17 17:55:25.00761-07,crypto_intel_prod,ETH,positive_ev_direction_agreement_signal,yes,0.26,5.1,0.197,0.48,25.5,0.3888586319733004,0.31132707459465914,0.6886729254053409,0.9312373557575339,0.01,5709.65,4.658051883333333,2109.19,2107.54,581,t,yes
2026-05-17 18:03:16.295093-07,crypto_intel_prod,BNB,positive_ev_direction_agreement_signal,yes,0.33,6.5,0.197,0.25,29.500000000000004,0.44169623583159345,0.3949373584810662,0.6050626415189337,0.658657248998823,0.07,13.72,11.761465483333334,645.68,645.385,582,f,no
2026-05-17 18:08:28.365757-07,crypto_intel_prod,SOL,positive_ev_direction_agreement_signal,yes,0.26,4.7,0.181,0.35,25.5,0.3607816681630683,0.3070015207449858,0.6929984792550141,0.6671094581098352,0.01,530.64,6.5888982333333335,85.2167,85.145,583,t,yes
2026-05-17 18:15:15.695448-07,crypto_intel_prod,SOL,positive_ev_direction_agreement_signal,yes,0.22,8.7,0.396,0.37,21.5,0.3313589611950819,0.3070569412649788,0.6929430587350212,0.611895567576427,0.01,127.13,14.758530683333333,85.2655,85.145,584,f,no
2026-05-17 18:24:31.114648-07,crypto_intel_prod,DOGE,positive_ev_direction_agreement_signal,yes,0.22,4.6,0.211,0.38,19.0,0.35890047439843975,0.26644026858800696,0.733559731411993,1.2993652321609923,0.06,956.62,5.52479475,0.106487,0.106325,585,f,no
